zipcode,city,state_id,state,country
601,Adjuntas,PR,Puerto Rico,USA
602,Aguada,PR,Puerto Rico,USA
603,Aguadilla,PR,Puerto Rico,USA
606,Maricao,PR,Puerto Rico,USA
610,Anasco,PR,Puerto Rico,USA
612,Arecibo,PR,Puerto Rico,USA
616,Bajadero,PR,Puerto Rico,USA
617,Barceloneta,PR,Puerto Rico,USA
622,Boqueron,PR,Puerto Rico,USA
623,Cabo Rojo,PR,Puerto Rico,USA
624,Penuelas,PR,Puerto Rico,USA
627,Camuy,PR,Puerto Rico,USA
631,Castaner,PR,Puerto Rico,USA
637,Sabana Grande,PR,Puerto Rico,USA
638,Ciales,PR,Puerto Rico,USA
641,Utuado,PR,Puerto Rico,USA
646,Dorado,PR,Puerto Rico,USA
647,Ensenada,PR,Puerto Rico,USA
650,Florida,PR,Puerto Rico,USA
652,Garrochales,PR,Puerto Rico,USA
653,Guanica,PR,Puerto Rico,USA
656,Guayanilla,PR,Puerto Rico,USA
659,Hatillo,PR,Puerto Rico,USA
660,Hormigueros,PR,Puerto Rico,USA
662,Isabela,PR,Puerto Rico,USA
664,Jayuya,PR,Puerto Rico,USA
667,Lajas,PR,Puerto Rico,USA
669,Lares,PR,Puerto Rico,USA
670,Las Marias,PR,Puerto Rico,USA
674,Manati,PR,Puerto Rico,USA
676,Moca,PR,Puerto Rico,USA
677,Rincon,PR,Puerto Rico,USA
678,Quebradillas,PR,Puerto Rico,USA
680,Mayaguez,PR,Puerto Rico,USA
682,Mayaguez,PR,Puerto Rico,USA
683,San German,PR,Puerto Rico,USA
685,San Sebastian,PR,Puerto Rico,USA
687,Morovis,PR,Puerto Rico,USA
688,Sabana Hoyos,PR,Puerto Rico,USA
690,San Antonio,PR,Puerto Rico,USA
692,Vega Alta,PR,Puerto Rico,USA
693,Vega Baja,PR,Puerto Rico,USA
694,Vega Baja,PR,Puerto Rico,USA
698,Yauco,PR,Puerto Rico,USA
703,Aguas Buenas,PR,Puerto Rico,USA
704,Aguirre,PR,Puerto Rico,USA
705,Aibonito,PR,Puerto Rico,USA
707,Maunabo,PR,Puerto Rico,USA
714,Arroyo,PR,Puerto Rico,USA
715,Mercedita,PR,Puerto Rico,USA
716,Ponce,PR,Puerto Rico,USA
717,Ponce,PR,Puerto Rico,USA
718,Naguabo,PR,Puerto Rico,USA
719,Naranjito,PR,Puerto Rico,USA
720,Orocovis,PR,Puerto Rico,USA
723,Patillas,PR,Puerto Rico,USA
725,Caguas,PR,Puerto Rico,USA
727,Caguas,PR,Puerto Rico,USA
728,Ponce,PR,Puerto Rico,USA
729,Canovanas,PR,Puerto Rico,USA
730,Ponce,PR,Puerto Rico,USA
731,Ponce,PR,Puerto Rico,USA
735,Ceiba,PR,Puerto Rico,USA
736,Cayey,PR,Puerto Rico,USA
738,Fajardo,PR,Puerto Rico,USA
739,Cidra,PR,Puerto Rico,USA
740,Puerto Real,PR,Puerto Rico,USA
741,Punta Santiago,PR,Puerto Rico,USA
745,Rio Grande,PR,Puerto Rico,USA
